"","ID","sample_date","timepoint","treatment","shelf","tank","tankID","collection_site","sequenced","width","length","wet_wgtcorr","dry_wgt","Len_Wgt_Index","HN_Index"
"1",17001,20170724,50,"Ambient",1,3,3,"Rowley2-Sawyers","N",2.523,3.586,3.94,1.867,0.52063580591188,473.857868020305
"3",17005,20170824,81,"Ambient",1,1,1,"Rowley1-RR","Y",2.077,4.279,6.35,1.985,0.463893433045104,312.59842519685
"4",17007,20170822,79,"Ambient",1,2,2,"Rowley2-Sawyers","Y",1.425,2.934,1.35,1.457,0.496591683708248,1079.25925925926
"5",17008,20170626,22,"Ambient",2,2,5,"Rowley1-RR","N",1.852,3.101,3.42,1.86,0.599806514027733,543.859649122807
"6",17011,20170605,1,"Moderate_OA",5,2,14,"Rowley1-RR","N",2.358,7.55,10.3,2.31,0.305960264900662,224.271844660194
"7",17012,20170822,79,"Moderate_OA",3,1,7,"Ipswich","N",2.311,3.81,4.09,1.918,0.503412073490814,468.948655256724
"8",17013,20170613,9,"Ambient",2,2,5,"Rowley2-Sawyers","Y",2.338,4.446,7.97,2.4,0.539811066126856,301.129234629862
"9",17019,20170822,79,"High_OA",4,3,12,"Rowley1-RR","Y",2.059,3.974,5.8,1.997,0.502516356316054,344.310344827586
"10",17020,20170605,1,"Moderate_OA",3,3,9,"Ipswich","N",2.099,3.755,7.5,2.19,0.583222370173103,292
"12",17022,20170626,22,"High_OA",4,3,12,"Rowley1-RR","N",2.497,3.095,4.83,2.31,0.746365105008078,478.260869565217
"13",17023,20170605,1,"High_OA",4,2,11,"Ipswich","N",2.131,3.696,7.26,2.28,0.616883116883117,314.04958677686
"15",17026,20170606,2,"High_OA",6,1,16,"Ipswich","N",2.663,3.971,6.3,2.1,0.528834046839587,333.333333333333
"16",17027,20170822,79,"Moderate_OA",3,2,8,"Rowley2-Sawyers","N",1.465,3.352,1.56,1.441,0.429892601431981,923.717948717949
"17",17028,20170626,22,"Ambient",1,3,3,"Rowley1-RR","N",2.196,3.448,3.12,1.85,0.536542923433875,592.948717948718
"18",17029,20170822,79,"Moderate_OA",5,1,13,"Ipswich","N",2.009,3.175,4.07,2.058,0.648188976377953,505.651105651106
"19",17030,20170626,22,"Moderate_OA",5,1,13,"Rowley2-Sawyers","N",2.022,4.619,6.32,2.25,0.487118423901277,356.012658227848
"20",17031,20170613,9,"Moderate_OA",5,1,13,"Rowley1-RR","N",1.675,3.089,2.71,1.77,0.573000971188087,653.136531365314
"21",17032,20170606,2,"Moderate_OA",3,2,8,"Ipswich","N",2.135,4.055,7.13,2.7,0.665844636251541,378.681626928471
"23",17036,20170606,2,"High_OA",4,3,12,"Rowley2-Sawyers","N",2.144,2.36,3.28,1.86,0.788135593220339,567.073170731707
"25",17040,20170606,2,"High_OA",4,2,11,"Ipswich","N",2.609,4.415,12.57,2.64,0.597961494903737,210.023866348449
"26",17041,20170724,50,"High_OA",6,3,18,"Rowley2-Sawyers","N",2.127,5,8.44,2.509,0.5018,297.274881516588
"27",17042,20170724,50,"Moderate_OA",5,1,13,"Rowley1-RR","N",1.971,2.806,3.54,1.828,0.651461154668567,516.38418079096
"28",17043,20170824,81,"Ambient",1,2,2,"Ipswich","N",2.205,3.321,4.81,2.214,0.666666666666667,460.29106029106
"29",17045,20170606,2,"High_OA",6,2,17,"Rowley1-RR","N",2.017,4.087,2.46,1.7,0.415953021776364,691.056910569106
"31",17048,20170626,22,"Moderate_OA",5,3,15,"Rowley1-RR","N",1.968,3.854,5.56,2.03,0.526725480020758,365.107913669065
"32",17049,20170605,1,"Ambient",2,2,5,"Ipswich","N",2.283,4.7,11.99,3.19,0.678723404255319,266.05504587156
"33",17050,20170606,2,"High_OA",6,3,18,"Rowley2-Sawyers","N",2.097,4.35,7.25,2.66,0.611494252873563,366.896551724138
"34",17051,20170824,81,"Ambient",1,3,3,"Rowley1-RR","N",2.27,3.495,3.71,2.0332,0.581745350500715,548.032345013477
"35",17052,20170724,50,"Ambient",2,2,5,"Ipswich","N",2.338,3.968,4.06,1.863,0.469506048387097,458.866995073892
"36",17053,20170626,22,"High_OA",4,1,10,"Rowley2-Sawyers","N",1.75,3.676,3.81,1.73,0.470620239390642,454.068241469816
"37",17054,20170605,1,"High_OA",4,3,12,"Rowley1-RR","N",2.719,3.435,10.43,2.61,0.759825327510917,250.239693192713
"41",17061,20170606,2,"Ambient",1,3,3,"Rowley2-Sawyers","N",2.289,3.739,7.35,2.24,0.599090665953464,304.761904761905
"42",17062,20170824,81,"Ambient",2,1,4,"Rowley1-RR","N",1.812,5.895,5.28,2.099,0.356064461407973,397.537878787879
"44",17065,20170606,2,"Moderate_OA",5,1,13,"Rowley1-RR","N",2.058,3.566,4.83,2.2,0.616937745372967,455.486542443064
"45",17066,20170605,1,"High_OA",6,3,18,"Rowley1-RR","N",2.794,5.322,13.31,2.82,0.529875986471251,211.870773854245
"46",17068,20170824,81,"Ambient",2,2,5,"Rowley1-RR","N",1.93,4.754,7.68,2.211,0.465082036180059,287.890625
"47",17069,20170613,9,"Ambient",1,1,1,"Ipswich","Y",2.539,4.999,7.47,2.31,0.462092418483697,309.236947791165
"48",17070,20170613,9,"Ambient",1,2,2,"Rowley2-Sawyers","Y",2.232,4.804,8.32,2.55,0.530807660283097,306.490384615385
"49",17072,20170613,9,"High_OA",4,3,12,"Rowley1-RR","Y",2.292,4.074,7.91,2.71,0.665193912616593,342.604298356511
"51",17075,20170626,22,"Moderate_OA",3,1,7,"Rowley2-Sawyers","N",1.955,5.77,9.62,2.54,0.440207972270364,264.033264033264
"53",17079,20170822,79,"Ambient",2,3,6,"Rowley1-RR","Y",2.532,3.777,3.43,1.904,0.504103786073603,555.102040816327
"54",17080,20170606,2,"Moderate_OA",5,2,14,"Ipswich","N",2.372,3.322,5.21,1.89,0.568934376881397,362.763915547025
"56",17082,20170822,79,"Moderate_OA",3,3,9,"Rowley1-RR","N",2.529,3.922,4.18,1.849,0.471443141254462,442.344497607656
"57",17085,20170724,50,"High_OA",6,1,16,"Rowley1-RR","N",1.844,6.1,6.77,2.231,0.365737704918033,329.542097488922
"58",17089,20170824,81,"Ambient",2,3,6,"Rowley1-RR","N",1.639,2.875,1.67,1.555,0.540869565217391,931.137724550898
"59",17090,20170613,9,"High_OA",6,2,17,"Rowley2-Sawyers","Y",2.316,5.49,11.74,2.53,0.460837887067395,215.502555366269
"60",17093,20170613,9,"Moderate_OA",3,3,9,"Rowley1-RR","N",2.838,4.47,7.79,2.53,0.565995525727069,324.775353016688
"61",17094,20170822,79,"High_OA",6,2,17,"Ipswich","Y",2.536,5.072,13.29,3.652,0.720031545741325,274.793077501881
"62",17095,20170626,22,"Ambient",1,1,1,"Rowley2-Sawyers","N",3.013,5.149,9.24,2.31,0.448630802097495,250
"65",17098,20170605,1,"High_OA",4,1,10,"Rowley2-Sawyers","N",2.251,4.453,4.85,1.81,0.406467549966315,373.19587628866
"66",17099,20170822,79,"Ambient",1,3,3,"Rowley1-RR","Y",2.115,3.245,7.99,2.169,0.668412942989214,271.464330413016
"67",17104,20170606,2,"Ambient",2,3,6,"Rowley2-Sawyers","N",1.813,3.947,5.95,2.19,0.554851786166709,368.067226890756
"69",17106,20170724,50,"Moderate_OA",5,2,14,"Ipswich","N",2.507,3.801,6.2,2.036,0.535648513549066,328.387096774194
"70",17108,20170613,9,"High_OA",6,3,18,"Ipswich","Y",2.132,4.055,6.83,2.35,0.579531442663379,344.07027818448
"72",17110,20170626,22,"High_OA",4,2,11,"Ipswich","N",2.471,4.02,8.3,1.92,0.477611940298508,231.325301204819
"73",17111,20170724,50,"Ambient",2,1,4,"Rowley1-RR","N",1.701,3.09,2.52,1.723,0.557605177993528,683.730158730159
"74",17113,20170724,50,"Ambient",1,1,1,"Rowley1-RR","N",1.361,3.428,4.57,2.093,0.610560093348891,457.986870897155
"75",17114,20170626,22,"High_OA",6,2,17,"Ipswich","N",1.934,3.992,6.14,1.82,0.455911823647295,296.416938110749
"77",17116,20170626,22,"Moderate_OA",3,2,8,"Rowley1-RR","N",2.401,3.69,4.4,1.92,0.520325203252032,436.363636363636
"78",17117,20170606,2,"Ambient",2,2,5,"Ipswich","N",2.397,5.018,11.22,3.04,0.605819051414906,270.944741532977
"80",17119,20170605,1,"Ambient",1,3,3,"Ipswich","N",2.004,5.387,9.94,2.35,0.436235381473919,236.418511066398
"81",17120,20170724,50,"Moderate_OA",3,1,7,"Rowley1-RR","N",2.04,3.187,3.34,1.631,0.51176655161594,488.323353293413
"82",17122,20170613,9,"High_OA",4,1,10,"Ipswich","Y",2.333,3.405,7.83,2.63,0.772393538913363,335.887611749681
"83",17123,20170824,81,"High_OA",4,2,11,"Rowley1-RR","N",2.533,3.764,5.94,2.135,0.56721572794899,359.427609427609
"84",17126,20170824,81,"High_OA",4,3,12,"Rowley1-RR","N",2.324,4.139,1.52,1.479,0.357332689055327,973.026315789474
"86",17129,20170724,50,"High_OA",4,3,12,"Rowley2-Sawyers","N",2.201,4.381,2.41,1.635,0.373202465190596,678.423236514523
"87",17130,20170822,79,"High_OA",6,3,18,"Rowley1-RR","Y",1.977,2.672,1.61,1.579,0.590943113772455,980.745341614907
"88",17131,20170605,1,"High_OA",6,2,17,"Ipswich","N",1.8,3.983,2.97,1.69,0.424303288978157,569.023569023569
"89",17133,20170724,50,"High_OA",4,1,10,"Rowley1-RR","N",1.977,2.939,2.27,1.543,0.525008506294658,679.735682819383
"90",17135,20170613,9,"Moderate_OA",5,2,14,"Rowley2-Sawyers","N",1.464,2.408,1.47,1.5,0.622923588039867,1020.40816326531
"91",17138,20170605,1,"Ambient",2,1,4,"Rowley2-Sawyers","N",1.58,3.127,3.07,1.79,0.57243364246882,583.061889250814
"93",17141,20170605,1,"Moderate_OA",3,1,7,"Rowley2-Sawyers","N",2.045,2.513,2.64,1.6,0.636689216076403,606.060606060606
"94",17142,20170613,9,"High_OA",6,1,16,"Rowley1-RR","Y",2.052,2.524,2.61,1.69,0.669572107765452,647.509578544061
"95",17143,20170724,50,"Ambient",1,2,2,"Ipswich","N",1.981,2.731,3.31,1.964,0.719150494324423,593.353474320242
"96",17145,20170822,79,"High_OA",6,1,16,"Ipswich","Y",1.82,3.369,2.38,1.651,0.490056396556842,693.697478991597
"97",17147,20170606,2,"High_OA",4,1,10,"Rowley1-RR","N",1.615,4.948,3.97,1.77,0.357720291026677,445.843828715365
"99",17151,20170626,22,"Moderate_OA",5,2,14,"Ipswich","N",2.12,3.088,6.43,2.54,0.822538860103627,395.0233281493
"100",17153,20170824,81,"Moderate_OA",5,2,14,"Rowley1-RR","N",2.869,4.089,5.72,2.308,0.564441183663487,403.496503496504
"101",17154,20170613,9,"Moderate_OA",3,1,7,"Ipswich","N",2.465,3.841,10.43,3.16,0.822702421244468,302.972195589645
"102",17155,20170606,2,"Moderate_OA",3,3,9,"Rowley2-Sawyers","N",1.876,2.498,1.78,1.52,0.608486789431545,853.932584269663
"103",17156,20170824,81,"Moderate_OA",5,3,15,"Rowley1-RR","N",2.433,3.556,2.31,1.577,0.44347581552306,682.683982683983
"104",17157,20170626,22,"Ambient",2,3,6,"Ipswich","N",2.137,2.979,6.99,2.36,0.792212151728768,337.625178826896
"105",17158,20170724,50,"Moderate_OA",3,3,9,"Rowley2-Sawyers","N",1.943,3.5,4.28,1.663,0.475142857142857,388.551401869159
"106",17159,20170824,81,"High_OA",6,1,16,"Rowley1-RR","N",1.6,2.872,1.09,1.466,0.510445682451254,1344.95412844037
"108",17162,20170613,9,"Ambient",2,3,6,"Rowley1-RR","Y",2.317,4.383,7.95,2.2,0.501939310974219,276.729559748428
"109",17163,20170626,22,"Ambient",2,1,4,"Rowley2-Sawyers","N",1.691,2.788,2.64,1.64,0.588235294117647,621.212121212121
"111",17166,20170724,50,"Ambient",2,3,6,"Rowley2-Sawyers","N",1.815,3.719,5.76,2.38,0.639956977682173,413.194444444444
"113",17168,20170824,81,"High_OA",6,2,17,"Rowley1-RR","N",1.775,3.03,2.64,1.705,0.562706270627063,645.833333333333
"114",17170,20170724,50,"High_OA",4,2,11,"Ipswich","N",2.227,2.984,3.1,1.759,0.589477211796247,567.41935483871
"116",17173,20170613,9,"Moderate_OA",5,3,15,"Ipswich","N",2.015,3.838,5.99,2.15,0.560187597707139,358.931552587646
"117",17174,20170613,9,"Ambient",1,3,3,"Rowley1-RR","Y",1.694,3.163,1.99,1.6,0.505848877647803,804.020100502513
"118",17176,20170613,9,"Ambient",2,1,4,"Ipswich","Y",1.834,3.325,3.44,1.97,0.592481203007519,572.674418604651
"119",17178,20170822,79,"High_OA",4,2,11,"Rowley2-Sawyers","Y",2.24,4.003,6.29,2.291,0.572320759430427,364.22893481717
"120",17179,20170626,22,"Moderate_OA",3,3,9,"Ipswich","N",2.011,3.166,4,1.9,0.600126342387871,475
"122",17181,20170613,9,"High_OA",4,2,11,"Rowley2-Sawyers","Y",2.065,3.412,4.07,2.09,0.612543962485346,513.513513513513
"123",17182,20170626,22,"Ambient",1,2,2,"Ipswich","N",1.821,2.562,2.17,1.67,0.651834504293521,769.585253456221
"124",17184,20170613,9,"Moderate_OA",3,2,8,"Rowley2-Sawyers","N",2.483,4.062,6.38,2.5,0.615460364352536,391.849529780564
"125",17186,20170605,1,"Ambient",2,3,6,"Rowley1-RR","N",2.148,3.781,6.76,2.41,0.637397513885216,356.508875739645
"126",17187,20170606,2,"Moderate_OA",5,3,15,"Rowley2-Sawyers","N",1.93,3.33,2.89,1.73,0.519519519519519,598.615916955017
"128",17189,20170605,1,"Ambient",1,2,2,"Rowley1-RR","N",2.222,5.373,12.15,3.07,0.571375395495998,252.674897119342
"129",17190,20170626,22,"High_OA",6,1,16,"Rowley2-Sawyers","N",2.015,2.984,1.48,1.48,0.49597855227882,1000
"131",17195,20170606,2,"Ambient",1,1,1,"Rowley1-RR","N",1.813,5.115,7.59,2.11,0.412512218963832,277.997364953887
"132",17196,20170605,1,"Moderate_OA",5,1,13,"Rowley2-Sawyers","N",2.612,3.941,4.82,2.09,0.530322253235219,433.609958506224
"134",17198,20170606,2,"Moderate_OA",3,1,7,"Rowley1-RR","N",1.894,2.713,3.18,1.9,0.700331736085514,597.48427672956
"135",17199,20170605,1,"High_OA",6,1,16,"Rowley2-Sawyers","N",1.585,2.899,2.36,1.7,0.586409106588479,720.338983050847
"136",17203,20170822,79,"Ambient",2,1,4,"Ipswich","Y",1.714,2.355,1.34,1.486,0.630997876857749,1108.9552238806
"137",17204,20170822,79,"Moderate_OA",5,3,15,"Rowley1-RR","N",2.345,4.272,5.25,2.198,0.514513108614232,418.666666666667
"139",17206,20170724,50,"Moderate_OA",3,2,8,"Ipswich","N",3.015,1.771,2.88,1.835,1.03613777526821,637.152777777778
"140",17207,20170606,2,"Ambient",2,1,4,"Rowley1-RR","N",2.149,2.921,4.17,2.01,0.688120506675796,482.014388489209
"141",17208,20170822,79,"Moderate_OA",5,2,14,"Rowley2-Sawyers","N",1.92,3.924,4.39,1.951,0.497196738022426,444.419134396355
"142",17210,20170724,50,"High_OA",6,2,17,"Ipswich","N",2.613,5.615,13.12,2.751,0.489937666963491,209.67987804878
"143",17211,20170822,79,"Ambient",2,2,5,"Rowley2-Sawyers","Y",2.28,3.845,4.85,1.983,0.515734720416125,408.865979381443
"144",17212,20170605,1,"Moderate_OA",5,3,15,"Ipswich","N",2.374,3.409,5.46,2.23,0.654150777354063,408.424908424908
"145",17213,20170822,79,"High_OA",4,1,10,"Ipswich","Y",2.422,4.081,5.77,2.217,0.543249203626562,384.2287694974
"147",17215,20170605,1,"Moderate_OA",3,2,8,"Rowley1-RR","N",1.997,2.03,1.22,1.46,0.719211822660099,1196.72131147541
"148",17217,20170605,1,"Ambient",1,1,1,"Rowley2-Sawyers","N",1.848,2.419,2.68,1.73,0.715171558495246,645.522388059701
"149",17218,20170724,50,"Moderate_OA",5,3,15,"Rowley2-Sawyers","N",1.95,3.104,1.79,1.578,0.508376288659794,881.564245810056
"150",17220,20170606,2,"Ambient",1,2,2,"Ipswich","N",2.213,3.746,3.23,1.78,0.475173518419648,551.083591331269
"151",17222,20170626,22,"High_OA",6,3,18,"Rowley1-RR","N",1.703,3.641,5.41,2.16,0.593243614391651,399.260628465804
